camis,dba,borough,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,grade_date,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,location,critical_flag_bin,neighborhood_simple,neighborhoods,nyc_poverty_rate,median_income,perc_white,perc_black,perc_asian,perc_other,perc_hispanic,indexscore
40368824,DOUBLES CLUB,Manhattan,783,5 AVENUE,10022,2127519595,american,2024-11-12,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,2024-11-12,2025-11-14,Cycle Inspection / Re-inspection,40.76453214513,-73.97280972968,108.0,4.0,11401.0,1040751.0,1013740001.0,MN40,POINT (-73.972809729679 40.764532145131),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40369016,VIAND COFFEE SHOP,Manhattan,673,MADISON AVENUE,10065,2127516622,greek,2024-08-01,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13.0,A,2024-08-01,2025-11-14,Cycle Inspection / Initial Inspection,40.76492405341,-73.97041614682,108.0,4.0,11401.0,1040850.0,1013760021.0,MN40,POINT (-73.970416146817 40.764924053413),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40369782,MCDONALD'S,Brooklyn,701,UTICA AVENUE,11203,7187780023,hamburgers,2025-11-07,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,A,2025-11-07,2025-11-14,Cycle Inspection / Initial Inspection,40.6561812034,-73.93084488673,317.0,41.0,86800.0,3100849.0,3046370035.0,BK96,POINT (-73.930844886732 40.656181203396),1.0,brownsville & ocean hill,brownsville & ocean hill,0.282,19274.0,0.021,0.742,0.015,0.012,0.211,0.614496873
40370463,THREE GUY'S RESTAURANT,Manhattan,960,MADISON AVENUE,10021,2126288108,american,2025-03-26,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11.0,A,2025-03-26,2025-11-14,Cycle Inspection / Re-inspection,40.77397437678,-73.96384103552,108.0,4.0,13000.0,1041694.0,1013900017.0,MN40,POINT (-73.963841035522 40.773974376779),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40371906,MARINER INN,Brooklyn,3501,AVENUE S,11234,7183768058,american,2025-04-30,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,9.0,A,2025-04-30,2025-11-14,Cycle Inspection / Re-inspection,40.60933940668,-73.9319776615,318.0,46.0,65800.0,3240112.0,3085020010.0,BK45,POINT (-73.9319776615 40.609339406683),1.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40372417,DON FILIPPO RESTAURANT,Manhattan,1133,LEXINGTON AVENUE,10075,2127443610,italian,2024-10-03,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,12.0,A,2024-10-03,2025-11-14,Cycle Inspection / Initial Inspection,40.77464250823,-73.9591072831,108.0,4.0,14000.0,1043268.0,1014130153.0,MN40,POINT (-73.959107283102 40.774642508226),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40373909,MCDONALD'S,Brooklyn,5804,CLARENDON ROAD,11203,7184510834,hamburgers,2024-08-19,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2024-08-19,2025-11-14,Cycle Inspection / Initial Inspection,40.64491615006,-73.92158847883,317.0,45.0,94600.0,3221965.0,3079160035.0,BK96,POINT (-73.921588478833 40.644916150063),0.0,brownsville & ocean hill,brownsville & ocean hill,0.282,19274.0,0.021,0.742,0.015,0.012,0.211,0.614496873
40374395,EL CARIBE,Brooklyn,5945,STRICKLAND AVENUE,11234,7185311200,italian,2023-04-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,5.0,A,2023-04-27,2025-11-14,Cycle Inspection / Initial Inspection,40.60865230773,-73.91428056082,318.0,46.0,69800.0,3238580.0,3084701028.0,BK45,POINT (-73.914280560816 40.608652307729),0.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40378827,KOSHER HUT OF BROOKLYN,Brooklyn,709,KINGS HIGHWAY,11223,7183768996,jewish/kosher,2023-10-16,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,26.0,B,2023-10-16,2025-11-14,Cycle Inspection / Re-inspection,40.60619789188,-73.96543762922,315.0,44.0,41800.0,3177500.0,3066640027.0,BK25,POINT (-73.96543762922 40.606197891882),1.0,sunset park & windsor terrace,sunset park & windsor terrace,0.294,20787.0,0.223,0.026,0.324,0.016,0.412,4.802942182
40379920,E.A.T. CAFE,Manhattan,1064,MADISON AVENUE,10028,2127720022,american,2025-07-15,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10.0,A,2025-07-15,2025-11-14,Cycle Inspection / Re-inspection,40.77737157688,-73.96136587757,108.0,4.0,14200.0,1046617.0,1014920017.0,MN40,POINT (-73.961365877573 40.777371576876),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40385587,ISLAND,Manhattan,1305,MADISON AVENUE,10128,2129961200,seafood,2025-04-03,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12.0,A,2025-04-03,2025-11-14,Cycle Inspection / Re-inspection,40.78495332555,-73.95580762231,108.0,4.0,16001.0,1047084.0,1015040055.0,MN40,POINT (-73.95580762231 40.784953325549),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40385955,LJUBO'S PIZZERIA,Bronx,15,WESTCHESTER SQUARE,10461,7188630874,pizza,2025-02-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,2025-02-18,2025-11-14,Cycle Inspection / Initial Inspection,40.84043332631,-73.84331416514,210.0,18.0,20000.0,2041856.0,2039810022.0,BX37,POINT (-73.843314165136 40.840433326313),0.0,"riverdale, fieldston & kingsbridge","riverdale, fieldston & kingsbridge",0.152,30437.0,0.324,0.124,0.052,0.023,0.477,5.184720365
40386999,DUE,Manhattan,1396,THIRD AVENUE,10075,2127723331,italian,2025-06-30,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,2025-06-30,2025-11-14,Cycle Inspection / Initial Inspection,40.77456217763,-73.95709988738,108.0,5.0,14000.0,1085208.0,1015080035.0,MN40,POINT (-73.957099887375 40.774562177627),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40388672,NECTAR,Manhattan,1090,MADISON AVENUE,10028,2127720916,american,2025-03-24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,11.0,A,2025-03-24,2025-11-14,Cycle Inspection / Initial Inspection,40.77812894166,-73.96081299828,108.0,4.0,14200.0,1046733.0,1014937503.0,MN40,POINT (-73.960812998275 40.778128941659),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40388787,SETTE MEZZO,Manhattan,969,LEXINGTON AVENUE,10021,2124720400,italian,2024-04-25,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, not or improperly tagged/labeled; tags not retained for 90 days.",Critical,12.0,A,2024-04-25,2025-11-14,Cycle Inspection / Re-inspection,40.76932723321,-73.96298794436,108.0,4.0,12800.0,1042761.0,1014050120.0,MN40,POINT (-73.962987944355 40.769327233213),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40391060,LUKE'S BAR & GRILL,Manhattan,1394,THIRD AVENUE,10075,2122497070,american,2024-05-16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,10.0,A,2024-05-16,2025-11-14,Cycle Inspection / Re-inspection,40.77450180921,-73.95714325253,108.0,5.0,14000.0,1047478.0,1015080035.0,MN40,POINT (-73.957143252533 40.774501809212),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40392766,BERGEN BEACH CAFE,Brooklyn,7112,AVENUE U,11234,9174449473,american,2024-07-29,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10.0,A,2024-07-29,2025-11-14,Cycle Inspection / Initial Inspection,40.62007869741,-73.9070435676,318.0,46.0,70000.0,3237692.0,3084310040.0,BK45,POINT (-73.907043567603 40.620078697405),1.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40394028,SALVI RESTAURANT,Brooklyn,4220,QUENTIN ROAD,11234,7182523030,italian,2024-09-05,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,7.0,A,2024-09-05,2025-11-14,Cycle Inspection / Initial Inspection,40.61756569631,-73.93225740531,318.0,46.0,65200.0,3220764.0,3078890042.0,BK45,POINT (-73.932257405306 40.617565696307),1.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40394207,PASCALOU,Manhattan,1308,MADISON AVENUE,10128,2125347522,french,2025-02-27,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,2025-02-27,2025-11-14,Cycle Inspection / Re-inspection,40.78509053253,-73.95572808699,108.0,4.0,16001.0,1078500.0,1015040056.0,MN40,POINT (-73.955728086994 40.78509053253),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40395865,PIZZA NOSH,Brooklyn,2807,NOSTRAND AVENUE,11229,7182533200,pizza,2023-09-01,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7.0,A,2023-09-01,2025-11-14,Cycle Inspection / Re-inspection,40.61564281443,-73.94473629288,318.0,45.0,64400.0,3211397.0,3076920094.0,BK45,POINT (-73.944736292883 40.61564281443),0.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40397625,LA VILLA PIZZERIA,Brooklyn,6610,AVENUE U,11234,7182518030,pizza,2024-06-26,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,11.0,A,2024-06-26,2025-11-14,Cycle Inspection / Initial Inspection,40.61741374783,-73.91079335406,318.0,46.0,70201.0,3243428.0,3086310001.0,BK45,POINT (-73.910793354064 40.617413747827),1.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40397725,GOURMET GRILL,Brooklyn,6334,AVENUE N,11234,7182412345,american,2025-04-30,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2025-04-30,2025-11-14,Cycle Inspection / Initial Inspection,40.61961351614,-73.91600264253,318.0,46.0,69800.0,3236376.0,3083850049.0,BK45,POINT (-73.916002642528 40.619613516141),0.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40399787,STARBUCKS,Manhattan,1128,3 AVENUE,10065,2124726535,coffee/tea,2025-01-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2025-01-27,2025-11-14,Cycle Inspection / Initial Inspection,40.76581959068,-73.96347725618,108.0,4.0,12000.0,1042435.0,1014000040.0,MN40,POINT (-73.963477256177 40.76581959068),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40401445,IHOP,Brooklyn,2101,RALPH AVENUE,11234,7182512262,pancakes/waffles,2025-08-22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,8.0,A,2025-08-22,2025-11-14,Cycle Inspection / Re-inspection,40.62598556216,-73.917932708,318.0,46.0,69601.0,3326929.0,3083440001.0,BK45,POINT (-73.917932708 40.625985562164),0.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40402369,COLONY CLUB,Manhattan,564,PARK AVENUE,10065,2128384200,american,2024-10-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,2024-10-18,2025-11-14,Cycle Inspection / Initial Inspection,40.76504424495,-73.96825370629,108.0,4.0,11401.0,1040899.0,1013770033.0,MN40,POINT (-73.968253706291 40.765044244954),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40402377,REGENCY WHIST CLUB,Manhattan,15,EAST   67 STREET,10065,2127341700,american,2025-05-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,B,2025-05-20,2025-11-14,Cycle Inspection / Re-inspection,40.76889519619,-73.96846125538,108.0,4.0,12200.0,1041205.0,1013820012.0,MN40,POINT (-73.968461255383 40.768895196191),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40402407,UNION CLUB OF CITY OF NEW YORK,Manhattan,101,EAST   69 STREET,10021,2127345400,french,2021-08-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,2021-08-05,2025-11-14,Cycle Inspection / Initial Inspection,40.76902865478,-73.96489791296,108.0,4.0,12000.0,1042480.0,1014040001.0,MN40,POINT (-73.96489791296 40.769028654782),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40402418,NEW YORK JR. LEAGUE,Manhattan,130,EAST   80 STREET,10075,2122886220,american,2019-04-17,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,2019-04-17,2025-11-14,Cycle Inspection / Initial Inspection,40.77586387368,-73.95896571742,108.0,4.0,14000.0,1047491.0,1015080061.0,MN40,POINT (-73.958965717415 40.775863873676),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40402423,KNICKERBOCKER CLUB,Manhattan,2,EAST   62 STREET,10065,2128386700,american,2024-09-17,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,2024-09-17,2025-11-14,Cycle Inspection / Initial Inspection,40.76602769824,-73.97141202804,108.0,4.0,11401.0,1040868.0,1013760069.0,MN40,POINT (-73.971412028044 40.766027698235),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40402466,LOTOS CLUB GRILL ROOM,Manhattan,5,EAST   66 STREET,10065,2127377100,american,2025-09-08,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11.0,A,2025-09-08,2025-11-14,Cycle Inspection / Initial Inspection,40.76848374455,-73.96942897977,108.0,4.0,12200.0,1041161.0,1013810008.0,MN40,POINT (-73.969428979771 40.768483744552),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40402785,HARMONIE CLUB,Manhattan,4,EAST   60 STREET,10022,2123557400,american,2024-10-21,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,2024-10-21,2025-11-14,Cycle Inspection / Initial Inspection,40.76471314332,-73.97215985967,108.0,4.0,11401.0,1040764.0,1013740065.0,MN40,POINT (-73.972159859674 40.764713143321),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40512425,MCDONALD'S,Brooklyn,5713,CHURCH AVENUE,11203,7189226085,hamburgers,2025-08-25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2025-08-25,2025-11-14,Cycle Inspection / Initial Inspection,40.65252598418,-73.92351118235,317.0,41.0,86400.0,3102422.0,3046830042.0,BK96,POINT (-73.923511182349 40.652525984176),0.0,brownsville & ocean hill,brownsville & ocean hill,0.282,19274.0,0.021,0.742,0.015,0.012,0.211,0.614496873
40512445,BELLA BLU,Manhattan,967,LEXINGTON AVENUE,10021,2129884624,italian,2024-12-19,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,4.0,A,2024-12-19,2025-11-14,Cycle Inspection / Re-inspection,40.76928332759,-73.96302046088,108.0,4.0,12800.0,1042727.0,1014050021.0,MN40,POINT (-73.963020460881 40.769283327591),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40526406,CLUB MACANUDO (CIGAR BAR),Manhattan,26,EAST   63 STREET,10065,2127528200,american,2022-03-10,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10.0,A,2022-03-10,2025-11-14,Cycle Inspection / Initial Inspection,40.76598325401,-73.96936515114,108.0,4.0,11401.0,1040935.0,1013777502.0,MN40,POINT (-73.969365151136 40.765983254012),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40537290,NORA'S PARK BENCH CAFE,Brooklyn,3019,QUENTIN ROAD,11234,7183760033,american,2023-12-26,Violations were cited in the following area(s).,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12.0,A,2023-12-26,2025-11-14,Cycle Inspection / Initial Inspection,40.61192999845,-73.94099722921,318.0,46.0,64400.0,3212091.0,3077030006.0,BK45,POINT (-73.940997229209 40.611929998452),1.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
